word,topicid,topicval
stellar,"[9, 7, 2, 18, 19, 0, 5, 1, 14, 4, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999998536895884, 1.4559804517826018e-08, 7.123358453167071e-11, 8.0877261612167005e-15, 2.2819799349327657e-26, 4.0946682904720213e-38, 1.092918421952362e-39, 3.3609336342402764e-43, 4.5231925860630275e-62, 2.622135606788331e-72, 2.7285295078706876e-291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
veloc,"[5, 14, 1, 9, 19, 2, 7, 18, 0, 15, 13, 12, 11, 10, 8, 6, 16, 4, 3, 17]","[1.0, 9.5673147396259625e-40, 3.2930226057446883e-43, 3.1227077231074967e-55, 4.9539578251739639e-67, 1.8526570994173731e-90, 1.7055078827128309e-102, 1.6705798866436828e-136, 6.7536897265150674e-303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
phenomenon,"[5, 9, 1, 14, 7, 2, 19, 18, 0, 6, 4, 13, 12, 11, 10, 8, 15, 3, 16, 17]","[1.0, 1.3350186714420308e-23, 3.4429669360819663e-29, 1.0436153900584745e-39, 2.1885637609138846e-42, 1.6359215408589592e-49, 1.6814885601394149e-50, 3.0044300386836537e-58, 4.0178690915032648e-120, 8.3529245074676736e-173, 2.3544645898680569e-242, 1.444266182425317e-253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
produc,"[13, 14, 1, 9, 19, 2, 7, 15, 16, 12, 11, 10, 18, 8, 6, 5, 4, 3, 17, 0]","[1.0, 6.2567870719359888e-101, 2.1096095368733064e-109, 1.4452241414043207e-145, 1.3948053950797056e-154, 6.1476317234348429e-205, 2.0439006198151301e-284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appar,"[9, 7, 19, 2, 1, 18, 5, 14, 0, 4, 13, 6, 3, 16, 17, 15, 10, 11, 12, 8]","[0.9999999999896545, 1.0267371245874791e-11, 8.7613179473543048e-14, 1.853377991568196e-14, 4.7772917261304346e-23, 8.3181215131518126e-26, 3.9946284258603202e-31, 1.6659725689837566e-43, 2.1296580111561397e-55, 4.888807553290669e-96, 1.3184555637393317e-222, 2.4645476611498901e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
motion,"[17, 14, 1, 5, 9, 2, 7, 19, 18, 11, 10, 8, 12, 6, 13, 4, 3, 15, 16, 0]","[1.0, 4.3242582183482375e-79, 5.1157285689625338e-80, 1.3354400830053291e-95, 1.587629511199395e-117, 3.5064047325418052e-151, 8.4515253939106186e-160, 4.2563957132027557e-186, 1.7587466477062456e-199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
celesti,"[18, 7, 0, 2, 4, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999822809352379, 1.7715236836721483e-06, 3.8262321494832413e-10, 1.7315912156868954e-13, 1.5786835005756473e-18, 1.7297357867600032e-31, 1.0011427252429957e-77, 3.2587684006583093e-91, 2.4730012958760021e-133, 3.369107718183079e-161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
object,"[17, 14, 1, 9, 19, 5, 2, 15, 13, 12, 11, 10, 18, 8, 7, 6, 4, 3, 16, 0]","[1.0, 3.6073455377031017e-89, 6.5088880923848917e-120, 1.0135353021098084e-186, 2.3752290511869685e-233, 1.0246396684468859e-237, 1.5083348341847552e-267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
true,"[7, 2, 18, 9, 0, 4, 19, 5, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999981288364714, 8.4158629548874104e-08, 6.2480748210301699e-08, 4.047697924214364e-08, 1.219882431232135e-19, 5.3423792308034132e-38, 1.9041860442584264e-39, 2.3699636558575238e-49, 4.8830572606235867e-61, 2.0784140168166702e-80, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
depend,"[14, 1, 9, 19, 5, 2, 7, 18, 0, 13, 15, 16, 12, 11, 10, 8, 6, 4, 3, 17]","[1.0, 9.4687436843890859e-19, 1.2025919424471353e-50, 3.6907984437536196e-84, 4.3858160016616178e-85, 8.8564152715860389e-89, 6.7551197422829054e-90, 8.6660549173523054e-115, 1.7721101802268847e-269, 2.7223307210553255e-299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
observ,"[17, 14, 1, 9, 19, 5, 2, 7, 15, 13, 12, 11, 10, 18, 8, 6, 4, 3, 16, 0]","[1.0, 6.0755685665617174e-63, 1.5678868579594768e-98, 1.6118721473111681e-173, 6.4374511763799205e-188, 2.3649002436213923e-214, 1.3570196528866604e-226, 5.281049484285644e-272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
caus,"[13, 14, 19, 1, 7, 9, 15, 12, 11, 10, 18, 8, 16, 6, 5, 4, 3, 2, 17, 0]","[1.0, 1.4401234864351045e-131, 5.4745436673801269e-187, 1.9333196725122847e-214, 6.8394759175829748e-267, 8.2542490700442366e-298, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
displac,"[2, 18, 7, 9, 0, 19, 4, 5, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999327168570762, 4.8614329169346595e-06, 1.8668694046234013e-06, 1.1974817577274821e-11, 6.4551459218441752e-23, 2.7476570508801204e-38, 4.812828405228588e-50, 3.0939764361887113e-62, 8.2200298669173585e-67, 1.1034353158499527e-80, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
toward,"[9, 2, 19, 7, 5, 18, 1, 14, 0, 4, 13, 17, 3, 16, 6, 15, 10, 11, 12, 8]","[0.99999999997459099, 2.4798189020127827e-11, 6.136354067644225e-13, 4.8133455385053137e-15, 2.2113393609961799e-18, 9.7460196550860224e-23, 2.4799952442130829e-27, 5.6458901319588943e-48, 1.1796165990272796e-78, 2.8567303615986885e-129, 1.0506741660687946e-296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
compar,"[19, 9, 7, 1, 5, 2, 18, 14, 0, 4, 13, 6, 3, 17, 16, 10, 11, 12, 15, 8]","[0.99999993452428482, 6.547436588418079e-08, 1.3618578031987985e-12, 8.3401654654586901e-16, 1.4739169769896918e-17, 1.1949341473233471e-17, 5.0682789070182245e-25, 4.1793009771988446e-33, 6.0592896915612498e-60, 5.2157070773299663e-112, 2.9653210240045857e-159, 2.1651369749975304e-220, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
stationari,"[7, 18, 2, 0, 4, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999997461964119, 2.5377514320293609e-08, 2.8435624860308399e-12, 4.6425406478585489e-16, 3.0885780689991113e-23, 2.6659257407731226e-25, 5.1638860776382618e-68, 2.3503491320240872e-74, 8.5108664519681882e-91, 1.4867548413230204e-119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
angl,"[1, 14, 5, 19, 9, 2, 7, 18, 0, 4, 13, 6, 15, 12, 11, 10, 8, 16, 3, 17]","[1.0, 1.1037421011846589e-31, 1.9384391958283962e-43, 1.2557761811409878e-44, 4.0893197967653766e-47, 2.1622736033683525e-49, 5.6069238504126136e-56, 8.0507608808990243e-83, 5.5757103160614681e-164, 1.6265245212552613e-229, 1.8018850327899241e-265, 3.7506553466620279e-275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
typic,"[13, 14, 1, 19, 9, 7, 2, 18, 5, 0, 15, 16, 12, 11, 10, 8, 6, 4, 3, 17]","[1.0, 2.3932874348640403e-38, 3.524989465798401e-41, 6.3578565011245543e-64, 3.2998440649291008e-73, 3.8173290466037064e-79, 1.1632157492516341e-95, 4.3736030903059748e-105, 6.9227323010903106e-137, 1.4828717593839062e-232, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
small,"[14, 1, 9, 7, 19, 2, 5, 18, 0, 13, 15, 12, 11, 10, 8, 16, 6, 4, 3, 17]","[1.0, 1.2029996479161165e-46, 4.4005657617209881e-59, 3.415769410322542e-76, 3.1843277152566517e-85, 6.0180113198307889e-90, 1.1068899564557253e-102, 2.2604568981053663e-113, 1.7821047286098514e-223, 1.5457757539056035e-309, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
v,"[9, 7, 2, 19, 5, 18, 1, 14, 0, 4, 15, 13, 12, 11, 10, 8, 16, 6, 3, 17]","[1.0, 4.7632989577552851e-17, 3.0151472092364928e-18, 1.9012837765788859e-27, 2.4688198968579259e-32, 1.0441664670860787e-34, 6.0318715821161069e-37, 1.7717165438808251e-63, 1.5150330539867874e-65, 1.4577187889650189e-104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c,"[14, 1, 9, 19, 7, 2, 15, 16, 13, 12, 11, 10, 18, 8, 6, 5, 4, 3, 17, 0]","[1.0, 3.9223229224264315e-69, 5.395129062081688e-169, 1.8627808159078271e-189, 4.8813118809002554e-251, 1.0124931305285858e-299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
speed,"[14, 1, 9, 5, 19, 2, 7, 15, 13, 12, 11, 10, 18, 8, 6, 16, 4, 3, 17, 0]","[1.0, 9.8315500846122113e-82, 4.8309371778848489e-125, 7.445796090777422e-128, 1.2871520582559766e-172, 1.952427421894259e-203, 3.0637556799601205e-312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
annual,"[7, 18, 0, 2, 4, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.9999991735338658, 8.2581276760191912e-07, 6.5338017932723131e-10, 1.1903073216368017e-15, 1.3937108255051503e-18, 1.9682273759406901e-25, 2.0940156403728692e-59, 1.8095318937804318e-83, 1.6182917747286004e-94, 1.7099559504095668e-137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
star,"[14, 1, 19, 8, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 5.8664297510122778e-194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
earth,"[1, 14, 19, 8, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 1.1423525203910904e-200, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
vari,"[1, 19, 14, 9, 2, 7, 18, 5, 0, 4, 13, 6, 15, 16, 12, 11, 10, 8, 3, 17]","[1.0, 3.0708040348543547e-17, 2.4397302710153496e-17, 9.2659317008785055e-18, 3.5419620487414358e-23, 5.0728866805314488e-24, 3.6191187937856557e-49, 6.407904638967204e-82, 1.7267533045913924e-96, 1.3501263326708782e-173, 2.0835092042167797e-203, 1.7653422112882933e-241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
period,"[14, 1, 2, 9, 19, 7, 15, 13, 12, 11, 10, 18, 8, 6, 5, 4, 3, 16, 17, 0]","[1.0, 1.7463091642112729e-96, 6.4767776384089105e-153, 5.1773090076398892e-169, 3.6905976544370126e-199, 1.9020836575067998e-265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cours,"[15, 4, 0, 18, 7, 2, 9, 5, 19, 1, 14, 12, 11, 10, 13, 8, 6, 16, 3, 17]","[1.0, 2.7358842765005624e-42, 1.5988066402231886e-46, 4.5189881797241066e-49, 2.4509931099049779e-54, 5.0935931987789298e-98, 7.6333332093104883e-132, 1.1640000441499026e-206, 5.2498559780766531e-235, 4.7643331249670914e-316, 2.8661687828109102e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
year,"[8, 19, 18, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
around,"[14, 1, 19, 9, 7, 2, 5, 18, 13, 0, 15, 16, 12, 11, 10, 8, 6, 4, 3, 17]","[1.0, 6.4850282852572424e-21, 6.3732328331230972e-39, 4.259275734853978e-43, 4.6792191313797803e-66, 1.6994298314375797e-78, 2.9486577221851649e-136, 5.6385704696480385e-147, 1.2597236823180074e-230, 3.7424414969830051e-242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
sun,"[1, 14, 9, 19, 2, 7, 5, 18, 15, 16, 13, 12, 11, 10, 8, 6, 4, 3, 17, 0]","[1.0, 6.9786754288402293e-24, 7.7409843260014857e-59, 4.1023165852425309e-75, 1.3831225701086592e-90, 7.4558006094368544e-136, 1.9683144866848504e-139, 5.4095431619686492e-201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
maximum,"[9, 7, 2, 18, 19, 1, 5, 14, 0, 4, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999999997731948, 2.2679020796886889e-11, 2.2792357424471342e-16, 6.0189024185605478e-24, 1.7514729459515376e-24, 3.1099949097991737e-39, 9.1655508576648087e-40, 2.695039308965905e-49, 2.0170089314614976e-53, 2.7534898950053691e-84, 1.2816497898240985e-241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"[1, 19, 9, 14, 2, 7, 5, 18, 13, 0, 17, 3, 4, 16, 6, 15, 10, 11, 12, 8]","[0.99999996015208203, 3.9847876334264831e-08, 1.9541952469581142e-14, 2.0348848870011943e-26, 5.5775691275512426e-32, 1.1075537715587174e-33, 2.138717265891515e-50, 5.0437490177408863e-139, 3.6591051507531301e-150, 1.6042128788272764e-188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
right,"[19, 1, 9, 7, 2, 14, 18, 5, 0, 4, 13, 17, 3, 16, 6, 15, 10, 11, 12, 8]","[1.0, 3.2519405516939583e-22, 1.6609156754787596e-24, 4.2758255209637994e-40, 2.2215929691200001e-41, 1.5922939220021366e-42, 3.3838031886663674e-58, 1.2914732542058765e-88, 1.546862972408848e-107, 5.2385812084162297e-174, 4.1344383559246988e-294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
declin,"[18, 7, 0, 4, 2, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99924206724872211, 0.00070317119630575035, 5.4710367072509273e-05, 5.1187699349178091e-08, 1.7337202979061347e-13, 5.2213743336182913e-32, 5.1198909798643002e-88, 3.4663954981494196e-100, 7.3853721046077825e-128, 1.6380199208386512e-136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
phenomena,"[5, 9, 2, 19, 1, 7, 18, 14, 0, 4, 15, 13, 12, 11, 10, 8, 6, 16, 3, 17]","[1.0, 4.0005272029422007e-25, 4.5364441559936949e-33, 7.5266140323849163e-35, 3.1655779599919678e-35, 3.3382808794097181e-39, 1.7666638067132494e-43, 1.6368254670109652e-43, 1.1799343350401132e-100, 4.0586409849386946e-217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
concern,"[7, 2, 18, 9, 0, 5, 19, 4, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999992979985808, 5.8579232086572047e-08, 1.0495842259262261e-08, 1.1248406617096864e-09, 2.2905455370757226e-13, 9.1883020661799766e-37, 2.8684945867856306e-40, 3.5078668552551766e-45, 4.1388288974752193e-54, 1.6277984946301372e-88, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
propag,"[2, 9, 7, 18, 5, 19, 1, 0, 14, 4, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[1.0, 4.4266932655851235e-21, 4.7466692674422617e-33, 2.3059388602808367e-33, 2.2382231766266119e-40, 2.1274863547820533e-41, 3.8504265899752189e-46, 4.2318773213454164e-76, 4.6836861159443328e-79, 1.0208174443920467e-120, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
move,"[14, 1, 9, 5, 19, 2, 7, 18, 15, 13, 12, 11, 10, 8, 6, 16, 4, 3, 17, 0]","[1.0, 4.2484808321651216e-45, 1.8723269138220435e-92, 7.1870152294928796e-95, 2.7177283663871922e-114, 2.822322338224919e-148, 1.7374318228871143e-190, 5.1011851762114701e-233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bodi,"[13, 14, 1, 19, 9, 15, 16, 12, 11, 10, 18, 8, 7, 6, 5, 4, 3, 2, 17, 0]","[1.0, 4.8668657321512248e-140, 4.4017869703983148e-140, 1.2138924021792239e-196, 4.5804022962837797e-237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
confus,"[7, 2, 18, 9, 0, 19, 4, 5, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99997504110544844, 2.4955126525298811e-05, 3.0508354132311071e-09, 7.1720305512571587e-10, 1.971220937277762e-24, 6.7909559326897979e-28, 1.5368363941292188e-39, 1.0500156320713347e-41, 1.7620176281243695e-66, 1.4983775549788941e-80, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
parallax,"[18, 0, 7, 2, 4, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999970969189134, 2.4136396003473227e-07, 4.816568356302835e-08, 7.7846398765919623e-10, 4.1678942096618527e-18, 3.390389178804478e-19, 2.4799556214971707e-55, 2.8416757432572779e-71, 1.3404010926100226e-105, 2.1101130355549147e-119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
latter,"[18, 2, 7, 0, 9, 4, 19, 5, 14, 1, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999948185941101, 3.5733634284741778e-07, 1.6080155880819881e-07, 2.6722999118148273e-12, 3.6344258957392231e-19, 1.1851584788538261e-19, 5.5504071248170224e-59, 1.41634850452729e-69, 2.4465085831699662e-94, 4.7563297169062064e-105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
nearbi,"[0, 18, 7, 4, 2, 9, 19, 5, 1, 14, 15, 13, 12, 11, 10, 8, 6, 16, 3, 17]","[0.99983624480175404, 0.00016211389002877794, 1.2952475113629085e-06, 3.4606072021916669e-07, 4.2632452783492587e-21, 9.1691727294405493e-45, 2.1471762273599903e-108, 1.4564758598657763e-109, 1.5092128273258967e-165, 1.244441935131564e-183, 1.3722307819506633e-284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
distant,"[7, 18, 0, 2, 4, 9, 5, 19, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99140715967491988, 0.008592552970671798, 2.873543238466169e-07, 5.6143010893281188e-14, 6.8132619691724356e-16, 8.6847421848352381e-22, 7.5259502508165615e-52, 2.1237471658380098e-76, 7.6017201089391231e-105, 1.9987978836880015e-135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
frame,"[2, 9, 18, 7, 1, 0, 19, 5, 14, 4, 13, 12, 11, 10, 8, 15, 6, 3, 16, 17]","[1.0, 7.59764785807246e-18, 1.1958442214211746e-26, 3.7493441524258176e-36, 1.573547746160058e-58, 1.3572397594202499e-60, 6.6867968798365982e-64, 7.8341114014931359e-78, 8.8354007299960189e-80, 1.581726306557915e-110, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
distanc,"[14, 1, 9, 19, 2, 7, 5, 18, 0, 17, 15, 16, 13, 12, 11, 10, 8, 6, 4, 3]","[1.0, 1.5173463611536494e-27, 6.9948277159725486e-44, 3.8959946004116393e-53, 3.6293068316813765e-78, 5.1102411682277105e-82, 8.7733663062218668e-86, 1.1586136195871622e-169, 1.0844212275974312e-317, 4.8412998570337908e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wherea,"[19, 9, 7, 2, 18, 5, 1, 14, 0, 4, 13, 6, 3, 17, 16, 10, 11, 12, 15, 8]","[0.99981714233343677, 0.00018285766454077807, 1.9773724505982898e-12, 5.1056224869766408e-14, 1.0361968526118707e-17, 4.4873098676225298e-25, 1.1087981438255683e-31, 3.2402504109756319e-49, 1.0398660738815085e-57, 2.0643226123030843e-89, 1.433993719075871e-212, 5.0002750140501766e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
time,"[14, 1, 9, 2, 8, 3, 4, 5, 6, 7, 19, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 6.8481497707898129e-122, 2.1433010696732905e-202, 3.6340001487015809e-227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
correct,"[9, 2, 7, 18, 19, 5, 0, 1, 14, 4, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999987157702575, 1.239701584798897e-07, 4.313339969145146e-09, 1.3949122550604964e-10, 1.1728912407455237e-19, 7.6010831158274177e-26, 2.2010944723923657e-30, 8.9967025798496447e-37, 4.4676242266226554e-51, 2.3834168462856323e-71, 7.0178010863600232e-267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
relativist,"[7, 2, 18, 9, 0, 19, 5, 4, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99999999990092192, 6.9386661522414405e-11, 2.9682988606400783e-11, 3.1114295771269191e-16, 3.274664186424327e-33, 3.6641882087573408e-45, 2.4237135004155738e-57, 1.0842544615963807e-61, 2.8276327655669287e-69, 3.4100606893864819e-88, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
beam,"[7, 18, 2, 0, 9, 4, 19, 5, 1, 14, 13, 12, 11, 10, 15, 8, 16, 6, 3, 17]","[0.99946809740570774, 0.00052770067134633061, 4.2019130187292801e-06, 9.9477769621796704e-12, 1.8354377978246896e-18, 1.6385122689817533e-26, 2.5012609949651577e-49, 3.7293745663214829e-78, 2.006981221931686e-102, 1.1562114410974628e-127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
consid,"[14, 1, 7, 9, 19, 18, 2, 5, 0, 6, 13, 4, 15, 12, 11, 10, 8, 16, 3, 17]","[1.0, 4.6786956651591126e-17, 6.5722872777961086e-30, 3.124728654820215e-42, 6.1163519722456568e-50, 3.4171337584226601e-64, 6.5641050896686082e-70, 9.3722494405553233e-90, 1.4692886911756549e-132, 2.2637044480989016e-256, 1.2987836605495851e-270, 3.5944737199485827e-282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
separ,"[14, 1, 19, 9, 7, 2, 18, 13, 5, 0, 6, 4, 15, 16, 12, 11, 10, 8, 3, 17]","[0.99999999948357754, 5.1641935911629504e-10, 4.4555450405824112e-29, 3.2541884656426512e-35, 2.458475721757814e-46, 8.7356716399807591e-56, 6.7909914477328369e-89, 7.79201492470171e-103, 4.0641148735781901e-127, 9.1335502458721194e-164, 2.3619642025294819e-257, 4.4612996174971861e-301, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
effect,"[17, 14, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 0]","[1.0, 7.8896777640036106e-245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
signific,"[15, 4, 0, 18, 7, 2, 9, 5, 19, 1, 14, 12, 11, 10, 13, 8, 6, 16, 3, 17]","[1.0, 2.7358842765005624e-42, 1.5988066402231886e-46, 4.5189881797241066e-49, 2.4509931099049779e-54, 5.0935931987789298e-98, 7.6333332093104883e-132, 1.1640000441499026e-206, 5.2498559780766531e-235, 4.7643331249670914e-316, 2.8661687828109102e-316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
develop,"[14, 1, 9, 19, 7, 2, 15, 16, 13, 12, 11, 10, 18, 8, 6, 5, 4, 3, 17, 0]","[1.0, 2.2975033431792151e-119, 1.4730195595444742e-149, 2.7391310240977508e-218, 2.953182858491824e-262, 4.7945641038919289e-299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
theori,"[16, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 14, 15, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
electromagnet,"[17, 14, 1, 9, 8, 2, 3, 4, 5, 6, 7, 19, 18, 10, 11, 12, 13, 15, 16, 0]","[1.0, 9.5971127151328238e-144, 7.5145502995101508e-205, 1.3740158707096321e-302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ultim,"[0, 7, 18, 4, 2, 9, 19, 5, 1, 14, 15, 13, 12, 11, 10, 8, 6, 16, 3, 17]","[0.99999374651741746, 3.4550427497617714e-06, 2.4730807622374203e-06, 3.2535905964402533e-07, 6.6726630493049325e-26, 2.965175440170745e-39, 9.0872656980331763e-112, 2.818740755696364e-113, 1.0818822528645702e-162, 9.2653351973372724e-198, 3.8399253469260136e-279, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
