word,topicid,topicval
count,"[18, 7, 0, 2, 4, 9, 5, 19, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999474469080574, 5.0417776294863864e-06, 2.1353132298340558e-07, 2.6054526514870843e-13, 5.2804623582730472e-16, 1.3011152754269413e-26, 4.1047085348524443e-89, 2.4074599820337898e-104, 7.9922975034926345e-115, 2.0499554693245486e-157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
measur,"[17, 14, 1, 9, 2, 19, 7, 5, 18, 13, 12, 11, 10, 8, 6, 4, 3, 15, 16, 0]","[1.0, 1.1756950562451009e-68, 1.094221742227858e-99, 9.3728868835692303e-124, 2.8093368537644774e-152, 3.9378291593028296e-172, 6.871058290884905e-180, 1.5439904353751388e-224, 7.6598247094821542e-265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
exampl,"[14, 1, 19, 9, 2, 7, 5, 18, 0, 15, 16, 13, 12, 11, 10, 8, 6, 4, 3, 17]","[1.0, 6.8781363399333394e-35, 1.3683134021482395e-90, 2.9581436023700528e-93, 4.5049809067044078e-105, 1.1559154984772907e-105, 5.6340699084763138e-130, 2.8340969680218809e-144, 3.2991233501049238e-319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
line,"[14, 1, 19, 7, 9, 5, 18, 2, 0, 4, 15, 13, 12, 11, 10, 8, 16, 6, 3, 17]","[1.0, 8.1416678934197669e-34, 1.1528433576908478e-40, 3.8171725841373208e-49, 1.6332901596026562e-51, 5.9609408965990538e-58, 7.0287148096843709e-85, 6.3904819779584643e-91, 1.2981756132698068e-179, 2.5406641819302198e-288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
segment,"[7, 18, 0, 2, 4, 9, 19, 5, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99987283445672936, 0.00012716078206929146, 4.7140611031293579e-09, 4.7150001252162527e-11, 1.3168955064068499e-17, 8.325331881386383e-20, 2.1745197894755286e-42, 1.3959088266592115e-68, 1.459211491372298e-79, 2.8155507123978225e-102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
length,"[1, 14, 9, 19, 2, 7, 5, 18, 0, 13, 4, 6, 15, 16, 12, 11, 10, 8, 3, 17]","[1.0, 5.384211944299545e-18, 3.8992292652845393e-19, 7.2158276709737897e-29, 3.0812065293192776e-31, 2.0952219361123347e-31, 4.4711630851409125e-39, 1.9044869717671811e-96, 2.181094879607782e-141, 1.2365833716378676e-226, 6.2579773771728266e-269, 1.3780076301396389e-310, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
first,"[14, 1, 19, 9, 15, 16, 13, 12, 11, 10, 18, 8, 7, 6, 5, 4, 3, 2, 17, 0]","[1.0, 1.0915627703366223e-108, 2.0843253140888022e-210, 1.8921210535671108e-229, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infinit,"[5, 9, 2, 1, 19, 7, 14, 18, 0, 4, 13, 6, 12, 11, 10, 8, 15, 3, 16, 17]","[1.0, 2.8665050026401573e-28, 1.1375288837487372e-30, 1.4253758388409461e-35, 7.1975967893973099e-42, 1.1985504987460788e-44, 5.3793930846037413e-56, 4.2025689456150898e-68, 8.0581531899406466e-135, 1.6731476103239851e-211, 1.9658486053916131e-272, 4.1551390838754376e-288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
sequenc,"[1, 19, 9, 14, 2, 7, 13, 18, 0, 5, 17, 3, 4, 16, 6, 15, 10, 11, 12, 8]","[1.0, 1.5796785043219868e-23, 9.8197235058480689e-52, 1.6763437001820393e-54, 2.3816848640028929e-60, 3.5122399975579772e-83, 1.4472184859361694e-177, 1.6532080102102668e-212, 3.4077220968149215e-291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
natur,"[1, 14, 19, 9, 2, 7, 15, 16, 13, 12, 11, 10, 18, 8, 6, 5, 4, 3, 17, 0]","[1.0, 1.1265677217920599e-120, 4.0747776557451327e-177, 6.8140285991939567e-181, 9.4554901382980285e-203, 7.8485144349102566e-233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
follow,"[14, 1, 9, 7, 19, 2, 18, 5, 13, 0, 6, 4, 15, 12, 11, 10, 8, 16, 3, 17]","[1.0, 8.1731294545309113e-25, 1.9654526565683156e-35, 2.312911167506316e-37, 7.2697166516671294e-49, 6.8337717647345504e-58, 4.1402348882490679e-78, 1.1511490178805901e-78, 1.1959932568770089e-133, 5.5480374735975076e-186, 4.8972536255313905e-267, 6.4772954687544278e-307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"[8, 19, 18, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
e,"[17, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 14, 15, 16, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mathemat,"[12, 19, 8, 1, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 13, 14, 15, 16, 17, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
constant,"[6, 14, 1, 9, 8, 2, 3, 4, 5, 7, 19, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 3.5368052223525046e-196, 9.6900049807885064e-200, 7.7747710513452969e-292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
approxim,"[14, 1, 19, 9, 7, 2, 5, 15, 16, 13, 12, 11, 10, 18, 8, 6, 4, 3, 17, 0]","[1.0, 1.3764138965521877e-24, 2.3426564531453205e-78, 1.332459120214842e-84, 7.2224391947528251e-133, 7.1865309770675611e-157, 2.0514799271495776e-260, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
equal,"[1, 14, 9, 5, 19, 7, 2, 18, 15, 13, 12, 11, 10, 8, 6, 16, 4, 3, 17, 0]","[1.0, 1.0617397696099579e-17, 1.2029617819329591e-54, 1.1754766081818988e-64, 2.3571685736264082e-65, 4.5353484425430168e-88, 3.0751338156458481e-102, 9.4119030551764059e-275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
appear,"[14, 1, 19, 9, 18, 7, 2, 5, 0, 13, 6, 4, 15, 16, 12, 11, 10, 8, 3, 17]","[0.99999999822279051, 1.7771934835737606e-09, 1.5812776567575721e-27, 1.3362457865307874e-45, 1.7954930774395386e-55, 3.3532419575694795e-56, 6.3189609853370545e-57, 2.8461816424457385e-79, 1.3575424443577984e-171, 3.7581198933188371e-200, 8.4307609656659084e-269, 1.4169274504284022e-302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
mani,"[13, 1, 14, 19, 9, 2, 15, 16, 12, 11, 10, 18, 8, 7, 6, 5, 4, 3, 17, 0]","[1.0, 6.0237105985167293e-99, 5.4456904628782944e-138, 2.7805334086785657e-218, 2.6645063080682112e-238, 1.5241626608193198e-273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
differ,"[1, 14, 9, 2, 19, 15, 13, 12, 11, 10, 18, 8, 7, 6, 5, 4, 3, 16, 17, 0]","[1.0, 1.0320052345639878e-109, 1.7868407748575203e-239, 4.2854760910392855e-254, 1.0525536124743772e-280, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
set,"[6, 14, 1, 5, 9, 8, 2, 3, 4, 7, 19, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 1.281429909239674e-149, 5.5709523171096553e-220, 6.0053414855147809e-234, 1.7056908009667506e-295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
throughout,"[19, 9, 7, 2, 1, 18, 14, 5, 0, 4, 13, 6, 3, 17, 16, 10, 11, 12, 15, 8]","[0.99999999933942263, 6.605258113626126e-10, 4.017736924232866e-14, 3.1869794441839011e-21, 3.0060528159972255e-21, 1.1915312449603928e-21, 4.9667718555277559e-31, 4.30384943021306e-32, 3.7037324965359482e-55, 1.2132756839217428e-125, 4.0414320323170749e-193, 3.9819986638134112e-248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
discov,"[14, 1, 19, 7, 9, 2, 18, 5, 0, 15, 13, 12, 11, 10, 8, 16, 6, 4, 3, 17]","[1.0, 2.0991212930175172e-45, 1.6978737359690031e-88, 9.3232362009191548e-94, 1.4321582922699767e-95, 5.8951165638529139e-130, 7.8278852660920416e-132, 1.3945508776349504e-200, 3.2837842992255128e-238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
